session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled,season
9943,Qualifying,Qualifying,2025-07-05T14:00:00+00:00,2025-07-05T15:00:00+00:00,1277,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2025,False,2025
9947,Race,Race,2025-07-06T14:00:00+00:00,2025-07-06T16:00:00+00:00,1277,2,Silverstone,2,GBR,United Kingdom,Silverstone,01:00:00,2025,False,2025
9929,Practice,Practice 1,2025-07-25T10:30:00+00:00,2025-07-25T11:30:00+00:00,1265,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2025,False,2025
9930,Qualifying,Sprint Qualifying,2025-07-25T14:30:00+00:00,2025-07-25T15:14:00+00:00,1265,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2025,False,2025
9934,Race,Sprint,2025-07-26T10:00:00+00:00,2025-07-26T10:30:00+00:00,1265,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2025,False,2025
9935,Qualifying,Qualifying,2025-07-26T14:00:00+00:00,2025-07-26T15:00:00+00:00,1265,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2025,False,2025
9939,Race,Race,2025-07-27T13:00:00+00:00,2025-07-27T15:00:00+00:00,1265,7,Spa-Francorchamps,16,BEL,Belgium,Spa-Francorchamps,02:00:00,2025,False,2025
9921,Practice,Practice 1,2025-08-01T11:30:00+00:00,2025-08-01T12:30:00+00:00,1266,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2025,False,2025
9922,Practice,Practice 2,2025-08-01T15:00:00+00:00,2025-08-01T16:00:00+00:00,1266,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2025,False,2025
9923,Practice,Practice 3,2025-08-02T10:30:00+00:00,2025-08-02T11:30:00+00:00,1266,4,Hungaroring,14,HUN,Hungary,Budapest,02:00:00,2025,False,2025
